Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Min-portfolio_Portefeuille-min_fra,Dept-nbr_No-min,Dept-name_Nom-min_eng,Dept-name_Nom-min_fra,Rpt-obj_Art-rppt,Rpt-obj_Art-rppt_eng,Rpt-obj_Art-rppt_fra,Proj-desc_eng,Proj-desc_fra,Xpnd-current-yr_Dep-ex-courant,Aggregate-payments_Versements-totalisant
2024/2025,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux",,,14271641,0
2024/2025,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","ARI Financial Services Inc., Mississauga, Ontario","ARI Financial Services Inc., Mississauga, Ontario",0,329775
2024/2025,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Benoît Laliberté et Fils Inc., Leclercville, Quebec","Benoît Laliberté et Fils Inc., Leclercville, Québec",0,123525
2024/2025,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Bureau Veritas Canada (2019) Inc., Mississauga, Ontario","Bureau Veritas Canada (2019) Inc., Mississauga, Ontario",0,2133854
2024/2025,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Commercial Cleaning Services, St Catharines, Ontario","Commercial Cleaning Services, St Catharines, Ontario",0,173251
2024/2025,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Deloitte LLP, Toronto, Ontario","Deloitte S E N C R L/s r l, Toronto, Ontario",0,288000
2024/2025,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Department of Public Works and Government Services, Gatineau, Quebec","Ministère des Travaux publics et des Services gouvernementaux, Gatineau, Québec",0,1017069
2024/2025,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","EnviroSafe Janitorial Inc., Surrey, British Columbia","EnviroSafe Janitorial Inc., Surrey, Colombie-Britannique",0,119712
2024/2025,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Evripos Janitorial Services Ltd, Ottawa, Ontario","Evripos Janitorial Services Ltd, Ottawa, Ontario",0,457288
2024/2025,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","G & T Custom Farming, Falun, Alberta","G & T Custom Farming, Falun, Alberta",0,124414
