Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Dept-nbr_No-min,Dept-name_Nom-min_eng,Rpt-obj_Art-rppt,Rpt-obj_Art-rppt_eng,Proj-desc_eng,Xpnd-current-yr_Dep-ex-courant,Aggregate-payments_Versements-totalisant
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services",,15805708,0
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Barta Beti Holdings Ltd, Beaverlodge, Alberta",0,121829
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Bee-Clean Building Maintenance, Edmonton, Alberta",0,130034
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Canada Science and Technology Museums Corp, Ottawa, Ontario",0,375000
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Commercial Cleaning Services, St Catharines, Ontario",0,113004
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Corner West Cleaning Services, Morden, Manitoba",0,108238
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Deloitte LLP, Ottawa, Ontario",0,494000
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Department of Public Works and Government Services, Gatineau, Quebec",0,3351492
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","GDI Integrated Facility Services, Montréal, Quebec",0,159428
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Homernik Cleaning Services Ltd, Saskatoon, Saskatchewan",0,105740
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Imperial Cleaners Ltd, Dartmouth, Nova Scotia",0,101370
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Institut international d'études administratives de Montréal, Montréal, Quebec",0,100000
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Judoe Inc, London, Ontario",0,267725
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Maintenance Eureka Ltée, Thetford-Mines, Quebec",0,153040
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Maxxam Analytics Inc, Mississauga, Ontario",0,2436200
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Merit Building Cleaning, Saskatoon, Saskatchewan",0,127793
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Ontario Infrastructure and Lands Corporation, Toronto, Ontario",0,559484
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Ontario Minister of Finance, Toronto, Ontario",0,200000
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Racing Forensics Inc, Toronto, Ontario",0,1248959
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Samson & Associates, Gatineau, Quebec",0,127251
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Service payments under $100,000 (656 payees)",0,4146710
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Service Star Building Cleaning Inc, Ottawa, Ontario",0,745961
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Streak-Free Janitorial, Lethbridge, Alberta",0,398723
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","SBC Facility Services, Dieppe, New Brunswick",0,131322
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",040,"Business Services","Welch LLP, Ottawa, Ontario",0,102405
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",041,"Legal Services",,2874520,0
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",041,"Legal Services","Department of Justice, Ottawa, Ontario",0,2601788
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",041,"Legal Services","MOFFAT & CO, Ottawa, Ontario",0,218226
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",041,"Legal Services","Service payments under $100,000 (25 payees)",0,54506
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",042,"Engineering and Architectural Services",,5452748,0
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",042,"Engineering and Architectural Services","Department of Public Works and Government Services, Gatineau, Quebec",0,4537638
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",042,"Engineering and Architectural Services","Koncrete Construction Group, Maple Creek, Saskatchewan",0,297239
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",042,"Engineering and Architectural Services","Service payments under $100,000 (97 payees)",0,617871
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",043,"Scientific and Research Services",,7449920,0
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",043,"Scientific and Research Services","Ag-Quest Inc, Minto, Manitoba",0,314711
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",043,"Scientific and Research Services","Bio-Smart Solutions, Chilliwack, British Colombia",0,111850
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",043,"Scientific and Research Services","Cropseed Ltd, Auckland, New Zealand",0,244059
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",043,"Scientific and Research Services","Elmhirst Diagnostics & Research, Abbotsford, British Columbia",0,107240
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",043,"Scientific and Research Services","Génome Québec, Montréal, Quebec",0,601252
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",043,"Scientific and Research Services","ICMS Inc, Portage la Prairie, Manitoba",0,411011
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",043,"Scientific and Research Services","Maxxam Analytics Inc, Mississauga, Ontario",0,251274
