Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Min-portfolio_Portefeuille-min_fra,Dept-nbr_No-min,Dept-name_Nom-min_eng,Dept-name_Nom-min_fra,Rpt-obj_Art-rppt,Rpt-obj_Art-rppt_eng,Rpt-obj_Art-rppt_fra,Proj-desc_eng,Proj-desc_fra,Xpnd-current-yr_Dep-ex-courant,Aggregate-payments_Versements-totalisant
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux",,,14702069,0
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Atelier du Martin-Pêcheur Inc, Clermont, Quebec","Atelier du Martin-Pêcheur Inc, Clermont, Québec",0,116280
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","ARI Financial Services Inc, Mississauga, Ontario","ARI Financial Services Inc, Mississauga, Ontario",0,339448
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Bureau Veritas, Mississauga, Ontario","Bureau Veritas, Mississauga, Ontario",0,2387988
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Commercial Cleaning Services, St Catharines, Ontario","Commercial Cleaning Services, St Catharines, Ontario",0,106520
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Corner West Cleaning Services, Morden, Manitoba","Corner West Cleaning Services, Morden, Manitoba",0,138287
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Deloitte LLP, Toronto, Ontario","Deloitte S E N C R L/s r l, Toronto, Ontario",0,409000
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Department of Public Works and Government Services, Gatineau, Quebec","Ministère des Travaux publics et des Services gouvernementaux, Gatineau, Québec",0,877513
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","EnviroSafe Janitorial Inc, Surrey, British Columbia","EnviroSafe Janitorial Inc, Surrey, Colombie-Britannique",0,166390
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Evripos Janitorial Services Ltd, Ottawa, Ontario","Evripos Janitorial Services Ltd, Ottawa, Ontario",0,123556
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","G & T Custom Farming, Falun, Alberta","G & T Custom Farming, Falun, Alberta",0,137364
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","GDI Integrated Facility Services, Montréal, Quebec","GDI Services aux immeubles, Montréal, Québec",0,195555
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Homernik Cleaning Services Ltd, Saskatoon, Saskatchewan","Homernik Cleaning Services Ltd, Saskatoon, Saskatchewan",0,129515
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Imperial Cleaners Ltd, Dartmouth, Nova Scotia","Imperial Cleaners Ltd, Dartmouth, Nouvelle-Écosse",0,249745
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Judoe Inc, London, Ontario","Judoe Inc, London, Ontario",0,132044
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Long Van Cleaning, Windsor, Manitoba","Long Van Cleaning, Windsor, Manitoba",0,142901
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Maintenance Eureka Ltée, Thetford-Mines, Quebec","Maintenance Eureka Ltée, Thetford-Mines, Québec",0,230528
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Maintenance Trans-Québec Inc, Victoriaville, Quebec","Maintenance Trans-Québec Inc, Victoriaville, Québec",0,172127
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Merit Building Cleaning, Saskatoon, Saskatchewan","Merit Building Cleaning, Saskatoon, Saskatchewan",0,242787
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Ontario Infrastructure and Lands Corporation, Toronto, Ontario","Société ontarienne des infrastructures et de l'immobilier, Toronto, Ontario",0,1135637
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Ontario Minister of Finance, Toronto, Ontario","Ministre des Finances de l'Ontario, Toronto, Ontario",0,200000
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","PricewaterhouseCoopers LLP, Toronto, Ontario","PricewaterhouseCoopers S E N C R L/s r l, Toronto, Ontario",0,248608
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Racing Forensics Inc, Toronto, Ontario","Racing Forensics Inc, Toronto, Ontario",0,1204158
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Samson & Associates, Gatineau, Quebec","Samson & Associés, Gatineau, Québec",0,304868
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Scollard Maintenance Limited, Edmonton, Alberta","Scollard Maintenance Limited, Edmonton, Alberta",0,472190
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Service payments under $100,000 (510 payees)","Paiements de service inférieurs à 100 000 $ (510 bénéficiaires)",0,3643491
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Service Star Building Cleaning Inc, Ottawa, Ontario","Service Star Building Cleaning Inc, Ottawa, Ontario",0,803161
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Skyblue Services Corporation, Edmonton, Alberta","Skyblue Services Corporation, Edmonton, Alberta",0,114995
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","SBC Facility Services, Dieppe, New Brunswick","SBC Facility Services, Dieppe, Nouveau-Brunswick",0,176788
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",40,"Business Services","Services commerciaux","Waste Connections of Canada, Vaughan, Ontario","Waste Connections of Canada, Vaughan, Ontario",0,100625
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",41,"Legal Services","Services juridiques",,,7006555,0
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",41,"Legal Services","Services juridiques","Canadian Food Inspection Agency, Ottawa, Ontario","Agence canadienne d'inspection des aliments, Ottawa, Ontario",0,1219996
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",41,"Legal Services","Services juridiques","Dentons US LLP, San Francisco, California","Dentons US S E N C R L/s r l, San Francisco, Californie",0,1783951
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",41,"Legal Services","Services juridiques","Department of Justice, Ottawa, Ontario","Ministère de la Justice, Ottawa, Ontario",0,3897245
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",41,"Legal Services","Services juridiques","Moffat & Co, Ottawa, Ontario","Moffat & Co, Ottawa, Ontario",0,112738
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",41,"Legal Services","Services juridiques","Paine Hamblen LLP, Washington, District of Columbia","Paine Hamblen LLP, Washington, District fédéral de Columbia",0,113022
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",41,"Legal Services","Services juridiques","Service payments under $100,000 (73 payees)","Paiements de service inférieurs à 100 000 $ (73 bénéficiaires)",0,-120397
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",42,"Engineering and Architectural Services","Services techniques et d'architecture",,,5172408,0
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",42,"Engineering and Architectural Services","Services techniques et d'architecture","Department of Public Works and Government Services, Gatineau, Quebec","Ministère des Travaux publics et des Services gouvernementaux, Gatineau, Québec",0,4174541
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",42,"Engineering and Architectural Services","Services techniques et d'architecture","DFS Inc, Montréal, Quebec","DFS Inc, Montréal, Québec",0,374607
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",42,"Engineering and Architectural Services","Services techniques et d'architecture","Service payments under $100,000 (81 payees)","Paiements de service inférieurs à 100 000 $ (81 bénéficiaires)",0,623260
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche",,,10602478,0
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","Ag-Quest Inc, Minto, Manitoba","Ag-Quest Inc, Minto, Manitoba",0,235368
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","Agvise Laboratories Inc, Northwood, North Dakota","Agvise Laboratories Inc, Northwood, Dakota du Nord",0,130484
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","Bio-Smart Solutions, Chilliwack, British Columbia","Bio-Smart Solutions, Chilliwack, Colombie-Britannique",0,208145
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","Brock University, St Catharines, Ontario","Brock University, St Catharines, Ontario",0,105870
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","Canadian Grain Commission, Ottawa, Ontario","Commission canadienne des grains, Ottawa, Ontario",0,203634
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","Central Testing Laboratory Ltd, Winnipeg, Manitoba","Central Testing Laboratory Ltd, Winnipeg, Manitoba",0,108963
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","Cropseed Ltd, Auckland, New Zealand","Cropseed Ltd, Auckland, Nouvelle-Zélande",0,258300
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","Department of the Environment, Gatineau, Quebec","Ministère de l'Environnement, Gatineau, Québec",0,653679
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","Department of Natural Resources, Ottawa, Ontario","Ministère des Ressources naturelles, Ottawa, Ontario",0,422687
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","Enns Brothers Ltd, Oak Bluff, Manitoba","Enns Brothers Ltd, Oak Bluff, Manitoba",0,133366
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","Génome Québec, Montréal, Quebec","Génome Québec, Montréal, Québec",0,1345647
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","Global Institute for Food Security, Saskatoon, Saskatchewan","Global Institute for Food Security, Saskatoon, Saskatchewan",0,434620
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","ICMS Inc, Portage la Prairie, Manitoba","ICMS Inc, Portage la Prairie, Manitoba",0,357329
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","Northwestern Plytechnic, Grande Prairie, Alberta","Northwestern Plytechnic, Grande Prairie, Alberta",0,107680
