Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Dept-nbr_No-min,Dept-name_Nom-min_eng,Rpt-obj_Art-rppt,Rpt-obj_Art-rppt_eng,Proj-desc_eng,Xpnd-current-yr_Dep-ex-courant,Aggregate-payments_Versements-totalisant
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services",,13955523,0
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services","Barta Beti Holdings Ltd, Beaverlodge, Alberta",0,134240
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services","Bee-Clean Building Maintenance, Edmonton, Alberta",0,112045
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services","Cameron & Sons, Kelowna, British Columbia",0,161376
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services","Commercial Cleaning Services, St Catharines, Ontario",0,178088
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services","Corner West Cleaning Services, Morden, Manitoba",0,101208
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services","Deloitte LLP, Ottawa, Ontario",0,238882
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services","GDI Integrated Facility Services, Montréal, Quebec",0,327057
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services","Homernik Cleaning Services Ltd, Saskatoon, Saskatchewan",0,126000
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services","Judoe Inc, London, Ontario",0,102859
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services","Maxxam Analytics Inc, Mississauga, Ontario",0,2423534
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services","Ontario Infrastructure and Lands Corporation, Toronto, Ontario",0,263525
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services","Ontario Minister of Finance, Toronto, Ontario",0,200000
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services","Public Works and Government Services, Gatineau, Quebec",0,2676116
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services","Racing Forensics Inc, Toronto, Ontario",0,1268850
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services","Samson & Associates, Gatineau, Quebec",0,136235
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services","Service payments under $100,000 (666 payees)",0,4249237
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services","Service Star Building Cleaning Inc, Ottawa, Ontario",0,601472
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services","Streak-Free Janitorial, Lethbridge, Alberta",0,392637
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services","SBC Facility Services, Dieppe, New Brunswick",0,131737
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",40,"Business Services","Welch LLP, Ottawa, Ontario",0,130425
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",41,"Legal Services",,3221988,0
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food",41,"Legal Services","Justice, Ottawa, Ontario",0,2857120
