Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Dept-nbr_No-min,Dept-name_Nom-min_eng,Rpt-obj_Art-rppt,Rpt-obj_Art-rppt_eng,Proj-desc_eng,Xpnd-current-yr_Dep-ex-courant,Aggregate-payments_Versements-totalisant
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Barta Beti Holdings Ltd, Beaverlodge, Alberta",0,123767
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Cameron & Sons, Kelowna, British Columbia",0,158814
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Commercial Cleaning Services, St Catharines, Ontario",0,212785
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Deloitte LLP, Ottawa, Ontario",0,310755
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","GDI Integrated Facility Services, Montréal, Quebec",0,296576
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Homernik Cleaning Services Ltd, Saskatoon, Saskatchewan",0,126000
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Inter-American Institute for Cooperation on Agriculture, San José, Costa Rica",0,209380
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Maxxam Analytics Inc, Mississauga, Ontario",0,2433490
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Ontario Infrastructure and Lands Corporation, Toronto, Ontario",0,257738
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Ontario Minister of Finance, Toronto, Ontario",0,238675
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Public Safety and Emergency Preparedness, Ottawa, Ontario",0,100000
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Public Works and Government Services, Gatineau, Quebec",0,2891611
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Racing Forensics Inc, Toronto, Ontario",0,1123934
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Samson & Associates, Gatineau, Quebec",0,134767
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Service payments under $100,000 (655 payees)",0,4122399
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Service Star Building Cleaning Inc, Ottawa, Ontario",0,608359
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","Streak-Free Janitorial, Lethbridge, Alberta",0,387895
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services","William's Cleaning Services Ltd, Saskatoon, Saskatchewan",0,130125
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",040,"Business Services",,13867070,0
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",042,"Engineering and Architectural Services","Amec Foster Wheeler Environment & Infrastructure, Calgary, Alberta",0,110284
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food",042,"Engineering and Architectural Services","Hatch Ltd, Mississauga, Ontario",0,232540
