Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Min-portfolio_Portefeuille-min_fra,Dept-nbr_No-min,Dept-name_Nom-min_eng,Dept-name_Nom-min_fra,Rpt-obj_Art-rppt,Rpt-obj_Art-rppt_eng,Rpt-obj_Art-rppt_fra,Proj-desc_eng,Proj-desc_fra,Xpnd-current-yr_Dep-ex-courant,Aggregate-payments_Versements-totalisant
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux",,,15312472,0
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Asia Pacific Foundation of Canada, Vancouver, British Columbia","Fondation Asie Pacifique du Canada, Vancouver, Colombie-Britannique",0,200000
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Axxima Inc, Toronto, Ontario","Axxima Inc, Toronto, Ontario",0,102791
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","ARI Financial Services Inc, Mississauga, Ontario","ARI Financial Services Inc, Mississauga, Ontario",0,349526
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Benoit Laliberté et Fils Inc, Leclercville, Quebec","Benoit Laliberté et Fils Inc, Leclercville, Québec",0,123780
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Bureau Veritas, Mississauga, Ontario","Bureau Veritas, Mississauga, Ontario",0,2367235
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Canadian Federation of Agriculture, Ottawa, Ontario","Fédération canadienne de l'agriculture, Ottawa, Ontario",0,125000
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Commercial Cleaning Services, St Catharines, Ontario","Commercial Cleaning Services, St Catharines, Ontario",0,173666
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Deloitte LLP, Toronto, Ontario","Deloitte S E N C R L/s r l, Toronto, Ontario",0,365000
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Department of Public Works and Government Services, Gatineau, Québec","Ministère des Travaux publics et des Services gouvernementaux, Gatineau, Québec",0,986306
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","EnviroSafe Janitorial Inc, Surrey, British Columbia","EnviroSafe Janitorial Inc, Surrey, Colombie-Britannique",0,143435
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Evripos Janitorial Services Ltd, Ottawa, Ontario","Evripos Janitorial Services Ltd, Ottawa, Ontario",0,209808
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","G & T Custom Farming, Falun, Alberta","G & T Custom Farming, Falun, Alberta",0,146049
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","GDI Integrated Facility Services, Montréal, Quebec","GDI Services aux immeubles, Montréal, Québec",0,287478
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Imperial Cleaners Ltd, Dartmouth, Nova Scotia","Imperial Cleaners Ltd, Dartmouth, Nouvelle-Écosse",0,146952
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Ingenium, Ottawa, Ontario","Ingenium, Ottawa, Ontario",0,500238
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Jhamaila Larosa, Morden, Manitoba","Jhamaila Larosa, Morden, Manitoba",0,115560
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Long Van Cleaning, Windsor, Manitoba","Long Van Cleaning, Windsor, Manitoba",0,126431
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Maintenance Eureka Ltée, Thetford-Mines, Quebec","Maintenance Eureka Ltée, Thetford-Mines, Québec",0,197032
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Maintenance Trans-Québec Inc, Victoriaville, Quebec","Maintenance Trans-Québec Inc, Victoriaville, Québec",0,156544
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Melliecent Building and Yard Maintenance Ltd, Regina, Saskatchewan","Melliecent Building and Yard Maintenance Ltd, Regina, Saskatchewan",0,112970
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Ontario Minister of Finance, Toronto, Ontario","Ministre des Finances de l'Ontario, Toronto, Ontario",0,200000
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","PricewaterhouseCoopers LLP, Toronto, Ontario","PricewaterhouseCoopers S E N C R L/s r l, Toronto, Ontario",0,137586
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Racing Forensics Inc, Toronto, Ontario","Racing Forensics Inc, Toronto, Ontario",0,1361404
