Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Dept-nbr_No-min,Dept-name_Nom-min_eng,Contractor-details_Details-entrepr_eng,Proj-desc_eng,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Ainswork, Saint-Laurent, Quebec","Replacement of controls, Saint-Hyacinthe, Quebec",1820777,455095,455095
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","All-Brite Electric Company Ltd, Saskatoon, Saskatchewan","Greenhouse LED retrofit, Regina, Saskatchewan",1334290,205221,1196783
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Ameresco Canada Inc, Richmond Hill, Ontario","Energy efficiency project under Harrow research and development centre federal building initiative, Gatineau, Quebec",5403576,1522148,1671048
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Architecture49 Inc, Winnipeg, Manitoba","Architectural and engineering services for research centre rehabilitation project, Swift Current, Saskatchewan",4643229,3494,4633099
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Atlantica Mechanical, Dartmouth, Nova Scotia","Emergency generator upgrade, Halifax, Nova Scotia",592780,82403,592780
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Avondale Construction Ltd, Halifax, Nova Scotia","Nappan building improvements building 20 and 51, Cumberland County, Nova Scotia",540049,540049,540049
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","AECOM Canada Ltd, Winnipeg, Manitoba","Architectural and engineering services for building 1 chiller replacement, Saskatoon, Saskatchewan",322608,65040,133642
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Bähler Biogaz Inc, Sherbrooke, Quebec","Finalization and commissioning of a bioreactor, Sherbrooke, Quebec",2081172,62489,2081172
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Bervin Construction Ltd, Abbotsford, British Columbia","Chemical storage building replacement, Agassiz, British Columbia",688000,41170,41170
2020/2021,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Bisson Fortin Architecture + Design Inc, Laval, Quebec","Architectural and engineering services for roofs refection of the main building, Saint-Hyacinthe, Quebec",307422,2162,307422
