Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Dept-nbr_No-min,Dept-name_Nom-min_eng,Contractor-details_Details-entrepr_eng,Proj-desc_eng,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Allen & Bolack Excavating Ltd, Brandon, Manitoba","Watermain replacement, Brandon research and development centre, Brandon, Manitoba",1563187,1563187,1563187
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Architecture49 Inc, Winnipeg, Manitoba","Architectural and engineering services for research centre rehabilitation project, Swift Current, Saskatchewan",4509204,488385,4390522
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Associated Engineering, Saskatoon, Saskatchewan","Architectural and engineering services for watermain replacement, Brandon, Manitoba",262274,193360,247360
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Atlantica Mechanical Contractors Inc, Dartmouth, Nova Scotia","Heating ventilation and air conditioning systems and control systems upgrade, Kentville, Nova Scotia",2106123,0,2106123
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Bähler Biogaz Inc, Sherbrooke, Quebec","Supply and installation of a bioreactor, Sherbrooke research and development centre, Sherbrooke, Quebec",969932,937498,937498
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Bisson Fortin Architecture + Design Inc, Laval, Quebec","Architectural and engineering services for roofs refection of the main building, Saint-Hyacinthe, Quebec",305260,193818,226929
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Boald Construction Management Ltd, Edmonton, Alberta","Beef feedlot water renovation and expansion, Lacombe, Alberta",802816,4481,794748
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Bradford M Hubbard Construction Inc, Spencerville, Ontario","Building 54 envelope conservation, Ottawa, Ontario",730134,0,699355
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Chandos Construction LP, Calgary, Alberta","Lethbridge research and development centre laboratory annex exterior envelope replacement, Lethbridge, Alberta",3544080,1909175,3544080
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Chandos Construction LP, Calgary, Alberta","New Lacombe abattoir, Lacombe, Alberta",12082800,36532,148641
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Construction Bugère Inc, Saint-Hyacinthe, Quebec","Roofs refection of the main building, Saint-Hyacinthe, Quebec",1133014,659162,659162
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Contracts under $250,000 and cost plus contracts under $25,000 (214 contractors)",Total,0,6696082,0
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Controlled Environments Ltd, Winnipeg, Manitoba","Growth chamber replacement, London, Ontario",906345,0,858696
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Controlled Environments Ltd, Winnipeg, Manitoba","Growth chambers replacement, Québec, Quebec",1010895,201250,1010895
2018/2019,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Controlled Environments Ltd, Winnipeg, Manitoba","New growth chambers, Summerland, British Columbia",3180285,0,3177409
