Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Dept-nbr_No-min,Dept-name_Nom-min_eng,Contractor-details_Details-entrepr_eng,Proj-desc_eng,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","A&A Elevator Inc, Carp, Ontario","Modernization of freight elevator, Ottawa, Ontario",285800,243950,285800
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Apex Enterprises Ltd, Fort Qu'Appelle, Saskatchewan","Preparation for site adaptation, Indian Head, Saskatchewan",259466,259466,259466
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Atlantica Mechanical Contractors Inc, Dartmouth, Nova Scotia**","Heating ventilation and air conditioning systems and control systems upgrade, Kentville, Nova Scotia",1959000,267450,267450
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Bergmann Plumbing and Heating Ltd, Morden, Manitoba**","Growth chamber cooling conversion, Morden, Manitoba",667459,159899,159899
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Bervin Construction Ltd, Abbotsford, British Columbia**","Greenhouse cooling system, Agassiz, British Columbia",530737,530737,530737
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Bradford M Hubbard Construction Inc, Spencerville, Ontario**","Shingle siding replacement, Ottawa, Ontario",366869,238219,238219
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Brighton Construction Inc, Charlottetown, Prince Edward Island**","Greenhouse expansion, Harrington, Prince Edward Island",1973000,159241,159241
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Buckhorn Earthmoving Ltd, Maple Creek, Saskatchewan**","Cypress Lake East Dam rehabilitation, Maple Creek, Saskatchewan",2872336,1646473,1646473
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Can-Dive Construction Ltd, North Vancouver, British Columbia**","Rehabilitation of Highfield dam, Rush Lake, Saskatchewan",657464,616214,657464
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Centinel Services, Moncton, New Brunswick","Building controls upgrade, St John's, Newfoundland and Labrador",262975,262975,262975
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Chandos Construction LP, Calgary, Alberta**","Lab block building exterior envelope replacement, Lethbridge, Alberta",11479850,4393933,7719972
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","City of Swift Current, Swift Current, Saskatchewan","Water distribution system, Swift Current, Saskatchewan",1010333,0,952381
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Con-Pro Industries Canada Ltd, Winnipeg, Manitoba","Lab upgrade, Winnipeg, Manitoba",407379,407379,407379
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Contracts under $250,000 and cost plus contracts under $25,000 (208 contractors)",,0,8935348,0
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Controlled Environments Ltd, Winnipeg, Manitoba**","New growth chambers, Summerland, British Columbia",2479190,2069640,2069640
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Crane Structures Steel Ltd, Brandon, Manitoba**","New seed processing facility, Brandon, Manitoba",2250239,0,2250239
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Delta Aggregates Ltd, Swift Current, Saskatchewan**","Rehabilitation of Highfield dam, Rush Lake, Saskatchewan",1541746,1541746,1541746
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Finn Construction Ltd, Saskatoon, Saskatchewan**","Rehabilitation of Highfield dam, Rush Lake, Saskatchewan",1529690,390384,390384
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Golder Associates Ltd, Calgary, Alberta**","Rehabilitation of Highfield dam, Rush Lake, Saskatchewan",686670,309981,309981
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Graham Design Builders, Winnipeg, Manitoba**","New greenhouse and headerhouse, Morden, Manitoba",8434766,0,8434766
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","MacLean Construction Ltd, Charlottetown, Prince Edward Island**","Building expansion, Harrington, Prince Edward Island",400568,400568,400568
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","MacLean Construction Ltd, Charlottetown, Prince Edward Island**","Lab renovations, Charlottetown, Prince Edward Island",2167000,173832,173832
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","MH Stoneworks, Manotick, Ontario","Foundation waterproofing and verandah restoration for building 54, Ottawa, Ontario",428134,33300,428134
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Michanie Construction Inc, Ottawa, Ontario","Mobile compactor storage system for National Coleoptera Collection, Ottawa, Ontario",317133,272128,317133
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Michanie Construction Inc, Ottawa, Ontario","National Hemiptera Collection consolidation, Ottawa, Ontario",297919,297919,297919
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Monteith Underground Services Ltd, Fredericton, New Brunswick**","Sanitary sewer upgrades, Fredericton, New Brunswick",616084,611083,611083
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Navco Construction Corp, Port Coquitlam, British Columbia**","Barn roof replacement, Agassiz, British Columbia",259205,259205,259205
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Niacon Limited, Queenston, Ontario**","New pesticide-free greenhouse addition, London, Ontario",2568994,122392,2568994
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Pro-Sag Mécanique Inc, Chicoutimi, Quebec**","Replacement of a water chilled cooler, Québec, Quebec",660643,660643,660643
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Raymond and Associates Roofing Inc, Ottawa, Ontario**","Roof replacement for building 22, Ottawa, Ontario",448927,341427,448927
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Silver Ridge Construction, Lethbridge, Alberta**","Agronomy building repairs and improvements, Lethbridge, Alberta",974341,258098,974341
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Silver Ridge Construction, Lethbridge, Alberta**","Feed barn rehabilitation, Lethbridge, Alberta",630093,630093,630093
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Van Alstine Project Management Inc, Regina, Saskatchewan**","Maintenance shop building extension, Indian Head, Saskatchewan",640838,640838,640838
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Wild Stone Engineering Ltd, Penticton, British Columbia**","Growth chamber replacement, Summerland, British Columbia",631841,488288,488288
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Wild Stone Engineering Ltd, Penticton, British Columbia**","Mechanical and electrical systems upgrade, Summerland, British Columbia",2521221,647802,647802
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Wright Construction Western Inc, Saskatoon, Saskatchewan**","Research centre rehabilitation project, Swift Current, Saskatchewan",28237155,5664876,5664876
2015/2016,04,"Canadian Heritage",102,"The National Battlefields Commission","Contracts under $250,000 and cost plus contracts under $25,000 (46 contractors)",,0,419742,0
2015/2016,04,"Canadian Heritage",102,"The National Battlefields Commission","Les constructions Bé-con Inc, Québec, Quebec**","Construction of the Plains of Abraham Trail, Québec, Quebec",3773264,3773264,3773264
2015/2016,04,"Canadian Heritage",102,"The National Battlefields Commission","Les Excavations Lafontaine Inc, Québec, Quebec**","Road maintenance, Québec, Quebec",2652938,81026,2652938
2015/2016,04,"Canadian Heritage",102,"The National Battlefields Commission","Option aménagement, Québec, Quebec**","Construction of the Plains of Abraham Trail, Québec, Quebec",537161,292092,537161
2015/2016,06,"Environment and Climate Change",007,Environment,"Carleton University, Ottawa, Ontario","Repayment of capital lease obligation on leased research building, Ottawa, Ontario",32500000,673721,7738354
