Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Dept-nbr_No-min,Dept-name_Nom-min_eng,Contractor-details_Details-entrepr_eng,Proj-desc_eng,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","All-Brite Electric Company Ltd, Saskatoon, Saskatchewan","Greenhouse LED retrofit, Regina, Saskatchewan",1228862,991562,991562
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Allen & Bolack Excavating Ltd, Brandon, Manitoba","Watermain replacement, Brandon research and development centre, Brandon, Manitoba",1563187,0,1563187
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Ameresco Canada Inc, Richmond Hill, Ontario","Energy efficiency project under Harrow research and development centre federal building initiative, Gatineau, Quebec",4781926,148900,148900
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Architecture49 Inc, Winnipeg, Manitoba","Architectural and engineering services for research centre rehabilitation project, Swift Current, Saskatchewan",4649469,171512,4562034
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Associated Engineering, Saskatoon, Saskatchewan","Architectural and engineering services for watermain replacement, Brandon, Manitoba",259593,12234,259593
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Atlantica Mechanical Contractors Inc, Dartmouth, Nova Scotia","Emergency generator upgrade, Halifax, Nova Scotia",546665,510377,510377
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Bähler Biogaz Inc, Sherbrooke, Quebec","Finalization and commissioning of a bioreactor, Sherbrooke, Quebec",2074091,2020370,2020370
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Bähler Biogaz Inc, Sherbrooke, Quebec","Supply and installation of a bioreactor, Sherbrooke research and development centre, Sherbrooke, Quebec",969932,32434,969932
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Bisson Fortin Architecture + Design Inc, Laval, Quebec","Architectural and engineering services for roofs refection of the main building, Saint-Hyacinthe, Quebec",307423,78331,305260
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Boald Construction Management Ltd, Edmonton, Alberta","Beef feedlot water renovation and expansion, Lacombe, Alberta",802816,0,802816
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Bradford M Hubbard Construction Inc, Spencerville, Ontario","Building 54 envelope conservation, Ottawa, Ontario",675567,0,675567
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Brandon Heating & Plumbing (1998) Ltd, Brandon, Manitoba","Chiller and cooling tower, Brandon, Manitoba",796007,673706,673706
