Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Min-portfolio_Portefeuille-min_fra,Dept-nbr_No-min,Dept-name_Nom-min_eng,Dept-name_Nom-min_fra,Contractor-details_Details-entrepr_eng,Contractor-details_Details-entrepr_fra,Proj-desc_eng,Proj-desc_fra,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2024/2025,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Contracts under $250,000 and cost plus contracts under $25,000 (30 contractors)","Contrats inférieurs à 250 000 $ et contrats à prix coûtant majoré inférieurs à 25 000 $ (30 entrepreneurs)",Total,Total,3271234,3271234,3271234
2024/2025,07,Finances,Finance,011,"Office of the Superintendent of Financial Institutions","Bureau du surintendant des institutions financières","Fleming Communications Inc, Ottawa, Ontario","Fleming Communications Inc, Ottawa, Ontario","Access Control Modernization","Modernisation du contrôle d'accès",485419,0,455868
2024/2025,07,Finances,Finance,011,"Office of the Superintendent of Financial Institutions","Bureau du surintendant des institutions financières","Great West Life, Montreal, Quebec","Great West Life, Montréal, Québec","14th floor Ottawa","14e étage Ottawa",7448577,591970,1408202
2024/2025,07,Finances,Finance,011,"Office of the Superintendent of Financial Institutions","Bureau du surintendant des institutions financières","Unimet Investments Ltd, Vancouver, British Columbia","Unimet Investments Ltd, Vancouver, Colombie-Britannique","Vancouver office fit-up","Aménagement du bureau de Vancouver",2982844,0,2766844
2024/2025,07,Finances,Finance,011,"Office of the Superintendent of Financial Institutions","Bureau du surintendant des institutions financières","Contracts under $250,000 and cost plus contracts under $25,000 (5 contractors)","Contrats inférieurs à 250 000 $ et contrats à prix coûtant majoré inférieurs à 25 000 $ (5 entrepreneurs)",Total,Total,370805,43645,304204
2024/2025,24,"Anciens Combattants","Veterans Affairs",021,"Department of Veterans Affairs","Ministère des Anciens Combattants","Pomerleau Inc, Saint-Georges, Quebec","Pomerleau Inc, Saint-Georges, Québec","Rehabilitation and optimization of the Daniel J. MacDonald Building, Charlottetown, Prince Edward Island","Réhabilitation et optimisation du édifice Daniel J MacDonald, Charlottetown, Île-du-Prince-Édouard",7548896,2929658,4507126
2024/2025,11,Santé,Health,022,"Department of Health","Ministère de la Santé","Couvreur Rolland Boudreault 2413-2276 Québec Inc, Gatineau, Quebec","Couvreur Rolland Boudreault 2413-2276 Québec Inc, Gatineau, Québec","Building Roof Replacement, Ottawa, Ontario","Remplacement de la toiture d'un bâtiment, Ottawa, Ontario",649915,58533,649915
2024/2025,06,"Environnement et Changement climatique","Environment and Climate Change",007,"Department of the Environment","Ministère de l'Environnement","Carleton University, Ottawa, Ontario","Carleton University, Ottawa, Ontario","Repayment of capital lease obligation on leased research building, Ottawa, Ontario","Remboursement de l'obligation liée au contrat de location-acquisition d'un immeuble de recherche, Ottawa, Ontario",32500000,1103005,15792144
2024/2025,06,"Environnement et Changement climatique","Environment and Climate Change",007,"Department of the Environment","Ministère de l'Environnement","Contracts under $250,000 and cost plus contracts under $25,000 (20 contractors)","Contrats inférieurs à 250 000 $ et contrats à prix coûtant majoré inférieurs à 25 000 $ (20 entrepreneurs)",Total,Total,0,1171312,0
2024/2025,14,"Innovation, Sciences et Industrie","Innovation, Science and Industry",035,"National Research Council of Canada","Conseil national de recherches du Canada","Aral Construction (2014) Ltd, Victoria, British Columbia","Aral Construction (2014) Ltd, Victoria, Colombie-Britannique","88/51 Wing Cooling Upgrade, Victoria, British Columbia","Mise à niveau du refroidissement des ailes, Victoria, Colombie-Britannique",654218,264958,654218
2024/2025,14,"Innovation, Sciences et Industrie","Innovation, Science and Industry",035,"National Research Council of Canada","Conseil national de recherches du Canada","Baxtec Mechanical Services, Ottawa, Ontario","Baxtec Mechanical Services, Ottawa, Ontario","Building M-07 chiller replacement, Ontario","Remplacement du refroidisseur dans l'immeuble M-07, Ontario",738453,306136,738453
2024/2025,14,"Innovation, Sciences et Industrie","Innovation, Science and Industry",035,"National Research Council of Canada","Conseil national de recherches du Canada","Black & Mcdonald Ltd, Ottawa, Ontario","Black & Mcdonald Ltd, Ottawa, Ontario","Building U-61 chiller replacement, Ontario","Remplacement du refroidisseur du bâtiment U-61, Ontario",723309,13062,723309
2024/2025,14,"Innovation, Sciences et Industrie","Innovation, Science and Industry",035,"National Research Council of Canada","Conseil national de recherches du Canada","Donald Servant Electric Ltd, Ottawa, Ontario","Donald Servant Electric Ltd, Ottawa, Ontario","Building M-55 DSL generator replacement, Ottawa, Ontario","Remplacement de la génératrice DSL du bâtiment M-55, Ottawa, Ontario",3628047,123151,3628047
2024/2025,14,"Innovation, Sciences et Industrie","Innovation, Science and Industry",035,"National Research Council of Canada","Conseil national de recherches du Canada","Graebeck Construction Ltd, Ottawa, Ontario","Graebeck Construction Ltd, Ottawa, Ontario","Building M-20 room 258A server, Ontario","Bâtiment M-20 pièce 258A serveur, Ontario",268914,22952,268914
2024/2025,14,"Innovation, Sciences et Industrie","Innovation, Science and Industry",035,"National Research Council of Canada","Conseil national de recherches du Canada","Inter West Mechanical Ltd, Saskatoon, Saskatchewan","Inter West Mechanical Ltd, Saskatoon, Saskatchewan","SAS-01 chiller replacement, Saskatchewan","SAS-01 remplacement du refroidisseur, Saskatchewan",3480184,3141983,3169926
2024/2025,14,"Innovation, Sciences et Industrie","Innovation, Science and Industry",035,"National Research Council of Canada","Conseil national de recherches du Canada","Jean Daoust Construction Inc, Ottawa, Ontario","Jean Daoust Construction Inc, Ottawa, Ontario","Building M-19 room 152 Instrumentation Lab renovation, Ontario","Rénovation du laboratoire d'instrumentation du bâtiment M-19, pièce 152, Ontario",383491,121628,341339
2024/2025,14,"Innovation, Sciences et Industrie","Innovation, Science and Industry",035,"National Research Council of Canada","Conseil national de recherches du Canada","RW Tomlinson Ltd, Ottawa, Ontario","RW Tomlinson Ltd, Ottawa, Ontario","Excess Soil Management in Parking Lots M-09,M-12, M-36 West Ontario","M-19 terre en exces stationnement M-09, M-12 M-36 Ouest, Ontario",810547,6057,810547
2024/2025,14,"Innovation, Sciences et Industrie","Innovation, Science and Industry",035,"National Research Council of Canada","Conseil national de recherches du Canada","Siemens Energy Canada Ltd, Oakville, Ontario","Siemens Energy Canada Ltd, Oakville, Ontario","Building M-06 low emissions cogeneration system renewal, Ontario","Renouvellement du système de cogénération à faibles émissions dans l'immeuble M-06, Ontario",3364277,2423184,3364277
2024/2025,14,"Innovation, Sciences et Industrie","Innovation, Science and Industry",035,"National Research Council of Canada","Conseil national de recherches du Canada","T3P Construction Inc, Montreal, Quebec","T3P Construction Inc, Montréal, Québec","MT-5 Cold room, Quebec","MT-5 chambre froide, Québec",271778,54575,271778
2024/2025,14,"Innovation, Sciences et Industrie","Innovation, Science and Industry",035,"National Research Council of Canada","Conseil national de recherches du Canada","1457478 Ontario Inc, Ottawa, Ontario","1457478 Ontario Inc, Ottawa, Ontario","Parking lot reconstruction M-9, M-12, M-36, Ottawa, Ontario","Redevelopment de stationnement a M-9, M-12 et M-36, Ottawa, Ontario",2384275,55979,2182636
2024/2025,14,"Innovation, Sciences et Industrie","Innovation, Science and Industry",035,"National Research Council of Canada","Conseil national de recherches du Canada","Contracts under $250,000 and cost plus contracts under $25,000 (87 contractors)","Contrats inférieurs à 250 000 $ et contrats à prix coûtant majoré inférieurs à 25 000 $ (87 entrepreneurs)",Total,Total,0,7536028,0
2024/2025,14,"Innovation, Sciences et Industrie","Innovation, Science and Industry",078,"Canadian Northern Economic Development Agency","Agence canadienne de développement économique du Nord","Nunastar Properties Inc, Edmonton, Alberta","Nunastar Properties Inc, Edmonton, Alberta","Design build and fit-up of office space, Iqaluit, Nunavut","Conception construction et aménagement pour des locaux pour bureaux, Iqaluit, Nunavut",507853,22641,507853
2024/2025,14,"Innovation, Sciences et Industrie","Innovation, Science and Industry",078,"Canadian Northern Economic Development Agency","Agence canadienne de développement économique du Nord","Public Works and Government Services, Iqaluit, Nunavut","Travaux publics et Services gouvernementaux, Iqaluit, Nunavut","Public Works and Government Services labour for design build and fit-up of office space, Iqaluit, Nunavut","Main-d'oeuvre de Travaux publics et Services gouvernementaux pour la conception construction et l'aménagement des locaux à bureaux, Iqaluit, Nunavut",15495,286,15054
2024/2025,19,"Conseil privé","Privy Council",101,"Canadian Transportation Accident Investigation and Safety Board","Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports","TPH, Ottawa, Ontario","TPH, Ottawa, Ontario","Installation of a backflow preventer, Ottawa, Ontario","Installation d'un dispositif de prévention des refoulements, Ottawa, Ontario",440485,0,0
2024/2025,29,"Logement, Infrastructure et Collectivités","Housing, Infrastructure and Communities",142,"Office of Infrastructure of Canada","Bureau de l'infrastructure du Canada","Signature on the Saint Lawrence Group, Québec, Quebec","Groupe Signature sur le Saint-Laurent, Québec, Québec","New Bridge for the St. Lawrence Corridor, Montréal, Quebec","Corridor du nouveau pont pour le Saint-Laurent, Montréal, Québec",2583859154,1301649,1832769613
2024/2025,15,Justice,Justice,144,"Courts Administration Service","Service administratif des tribunaux judiciaires","BGIS, Montreal, Quebec","BGIS, Montréal, Québec","Leasehold improvement of 46 St-Jacques, Montréal, Québec, H2Y 1L2","Amélioration locative au 46 St-Jacques, Montréal, Québec, H2Y 1L2",26018675,0,212427
2024/2025,15,Justice,Justice,144,"Courts Administration Service","Service administratif des tribunaux judiciaires","GWL Realty Advisors Inc., Toronto, Ontario","GWL Realty Advisors Inc., Toronto, Ontario","Leasehold improvement of 180 Queen Street West, Toronto, Ontario","Amélioration locative au 180 rue Queen West, Toronto, Ontario",6237747,0,27929
2024/2025,15,Justice,Justice,144,"Courts Administration Service","Service administratif des tribunaux judiciaires","Contracts under $250,000 and cost plus contracts under $25,000 (1 contractor)","Contrats inférieurs à 250 000 $ et contrats à prix coûtant majoré inférieurs à 25 000 $ (1 entrepreneur)",Total,Total,0,0,0
2024/2025,04,"Patrimoine canadien","Canadian Heritage",145,"Library and Archives of Canada","Bibliothèque et Archives du Canada","Brookfield Global Integrated Solutions Canada LP, Markham, Ontario","Brookfield Solutions Globales Intégrées S E C, Markham, Ontario","Betterments to the Nitrate Film Preservation Facility, Ottawa, Ontario","Améliorations au Centre de préservation de pellicule de nitrate, Ottawa, Ontario",3432668,60998,3426558
