Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Min-portfolio_Portefeuille-min_fra,Dept-nbr_No-min,Dept-name_Nom-min_eng,Dept-name_Nom-min_fra,Contractor-details_Details-entrepr_eng,Contractor-details_Details-entrepr_fra,Proj-desc_eng,Proj-desc_fra,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Équipments Pétroliers Claude Pedneault Inc, Chicoutimi, Quebec","Équipments Pétroliers Claude Pedneault Inc, Chicoutimi, Québec","Replacement of petroleum storage tank system, Saint-Hyacinthe, Quebec","Remplacement de système de réservoir de stockage de produits pétroliers, Saint-Hyacinthe, Québec",1422388,316180,316180
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Ainsworth Inc, Calgary, Alberta","Ainsworth Inc, Calgary, Alberta","Building 102 chiller replacement, Lethbridge, Alberta","Bâtiment 102 replacement du refroidisseur, Lethbridge, Alberta",292068,259167,259167
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Ainsworth Inc, Lachine, Quebec","Ainsworth Inc, Lachine, Québec","Building 1 transfer switch replacement, Saint-Hyacinthe, Quebec","Bâtiment 1 remplacement du commutateur, Saint-Hyacinthe, Québec",10166226,199586,292068
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Ameresco Canada Inc, Richmond Hill, Ontario","Ameresco Canada Inc, Richmond Hill, Ontario","Harrow research and development centre energy efficiency project, Gatineau, Quebec","Centre de recherche et de développement de Harrow projet d'efficacité énergétique, Gatineau, Québec",589779,2849998,7012445
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Architecture49 Inc, Winnipeg, Manitoba","Architecture49 Inc, Winnipeg, Manitoba","Architectural and engineering services for building 1 seed storage vault, Saskatoon, Saskatchewan","Services d'architecture et d'ingénierie pour la chambre forte de stockage des semences de bâtiment 1, Saskatoon, Saskatchewan",396699,116860,116860
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Architecture49 Inc, Winnipeg, Manitoba","Architecture49 Inc, Winnipeg, Manitoba","Architectural and engineering services for new chemical storage building, Morden, Manitoba","Services d'architecture et d'ingénierie pour un nouvel immeuble de stockage de produits chimiques, Morden, Manitoba",384270,297541,297541
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","AECOM Canada Ltd, Winnipeg, Manitoba","AECOM Canada Ltd, Winnipeg, Manitoba","Architectural and engineering services for building 1 chiller replacement, Saskatoon, Saskatchewan","Services d'architecture et d'ingénierie pour le replacement du refroidisseur bâtiment 1, Saskatoon, Saskatchewan",1488291,49737,380351
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Bergmann Plumbing & Heating Ltd, Morden, Manitoba","Bergmann Plumbing & Heating Ltd, Morden, Manitoba","Building 72 boiler replacement, Morden, Manitoba","Bâtiment 72 remplacement de chaudière, Morden, Manitoba",5465020,878662,878662
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Buildon Construction Ltd 9049, New Minas, Nova Scotia","Buildon Construction Ltd 9049, New Minas, Nouvelle-Écosse","Boiler replacement, Kentville, Nova Scotia","Remplacement de chaudière, Kentville, Nouvelle-Écosse",2160479,666900,5465020
2023/2024,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Buildon Construction Ltd 9049, New Minas, Nova Scotia","Buildon Construction Ltd 9049, New Minas, Nouvelle-Écosse","Buildings 49 and 50 heating ventilation and air conditioning controls upgrade, Kentville, Nova Scotia","Bâtiments 49 et 50 mises à niveau des contrôles de chauffage ventilation et climatisation, Kentville, Nouvelle-Écosse",312410,69173,2160479
