Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Dept-nbr_No-min,Dept-name_Nom-min_eng,Contractor-details_Details-entrepr_eng,Proj-desc_eng,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Nitro Construction Ltd, Lethbridge, Alberta","Agronomy building expansion, Lethbridge, Alberta",1534253,1249965,1249965
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Fournier Gersovitz Moss Drolet & Associés Architectes, Montréal, Quebec","Architectural and engineering services for building 54 envelope conservation, Ottawa, Ontario",502624,1253,467837
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Kontzamanis Graumann Smith MacMillan Inc, Winnipeg, Manitoba","Architectural and engineering services for greenhouse expansion, Morden, Manitoba",293691,34052,289133
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Chernoff Thompson Architects, Vancouver, British Columbia","Architectural and engineering services for growth chamber replacement, Summerland, British Columbia",404395,0,404395
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Taylor Hazell Architects Ltd, Toronto, Ontario","Architectural and engineering services for Harrow research centre greenhouse construction, Harrow, Ontario",343539,117814,336698
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Stantec, Lethbridge, Alberta","Architectural and engineering services for irrigation upgrade, Vauxhall, Alberta",290600,26486,256724
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Bouthillette Parizeau Inc, Montréal, Quebec","Architectural and engineering services for major renovations of heating and cooling networks - Phase 2, Sherbrooke, Quebec",360196,9300,350896
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Stantec, Vancouver, British Columbia","Architectural and engineering services for mechanical and electrical systems upgrade, Summerland, British Columbia",333254,47949,332082
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Gagnon Letellier Cyr Ricard Mathieu & Associés Architectes, Québec, Quebec","Architectural and engineering services for relocation of the Chapais Farm, Saint-Augustin-de-Desmaures, Quebec",785422,37280,785422
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Architecture49 Inc, Winnipeg, Manitoba","Architectural and engineering services for research centre rehabilitation project, Swift Current, Saskatchewan",4284003,510194,1683247
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Gagnon Letellier Cyr Ricard Mathieu & Associés Architectes, Québec, Quebec","Architectural and engineering services for research greenhouse reconstruction, Québec, Quebec",772072,190516,760095
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Boald Construction Management Ltd, Edmonton, Alberta","Beef feedlot water renovation and expansion, Lacombe, Alberta",796882,790267,790267
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","GJ Cahill & Company (1979) Ltd, St John's, Newfoundland and Labrador","Boiler tank replacement, St John's, Newfoundland and Labrador",897134,0,897134
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Bradford M Hubbard Construction Inc, Spencerville, Ontario","Building 54 envelope conservation, Ottawa, Ontario",730134,0,699355
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Les Constructions Béland & Lapointe Inc, Lévis, Quebec","Chapais Farm greenhouse construction, Saint-Augustin-de-Desmaures, Quebec",376133,376133,376133
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Culliton Inc, Stratford, Ontario","Chiller overhaul, London, Ontario",345572,3500,345572
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Roscoe Construction Ltd, Waterville, Nova Scotia","Construction of research winery, Kentville, Nova Scotia",990960,56406,56406
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","SEPW Architecture Inc, Saskatoon, Saskatchewan","Crop services building extension, Saskatoon, Saskatchewan",340426,229383,320426
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Crane Structures Steel Ltd, Brandon, Manitoba","Crop services building, Brandon, Manitoba",2619031,733370,2619031
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","HDK Consulting Inc, Winnipeg, Manitoba","Crop services building, Brandon, Manitoba",347509,59869,343658
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Westco Construction Ltd, Lethbridge, Alberta","Dairy barn roof replacement, Lethbridge, Alberta",1532513,86404,1532513
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Groupe Symaco Inc, Québec, Quebec","Dust collector and air exhaust system replacement, Québec, Quebec",346886,337394,337394
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Amec Foster Wheeler Environment & Infrastructure, Lethbridge, Alberta","Engineering services for final design and rehabilitation of upstream conduits, Altawan, Saskatchewan",354390,0,130000
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Quorex Construction Services Ltd, Saskatoon, Saskatchewan","Farm site building extension, Saskatoon, Saskatchewan",2645201,2552112,2552112
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Tonda Construction Limited, London, Ontario","Fume hood exhaust systems upgrade, London, Ontario",399746,0,399746
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Brighton Construction Inc, Charlottetown, Prince Edward Island","Greenhouse expansion, Harrington, Prince Edward Island",2165163,0,2161638
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Winkler Building Supplies (1981) Ltd, Winkler, Manitoba","Greenhouse Expansion, Morden, Manitoba",2490199,605340,2490199
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Bergmann Plumbing and Heating Ltd, Morden, Manitoba","Growth chamber cooling conversion, Morden, Manitoba",813236,0,813236
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Controlled Environments Ltd, Winnipeg, Manitoba","Growth chamber replacement, London, Ontario",906345,858696,858696
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Wild Stone Engineering Ltd, Penticton, British Columbia","Growth chamber replacement, Summerland, British Columbia",863487,0,863487
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Controlled Environments Ltd, Winnipeg, Manitoba","Growth chambers replacement, Québec, Quebec",1010895,809645,809645
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Gulf Developments Inc, Maidstone, Ontario","Harrow research centre greenhouse construction, Harrow, Ontario",2977424,1715840,2957424
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Atlantica Mechanical Contractors Inc, Dartmouth, Nova Scotia","Heating ventilation and air conditioning systems and control systems upgrade, Kentville, Nova Scotia",2106123,0,2106123
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Ful-Flo Industries Ltd, Winnipeg, Manitoba","Irrigation development, Brandon, Manitoba",2360082,91301,2360082
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","FWBA Architects, Lethbridge, Alberta","Lab annex exterior envelope replacement, Lethbridge, Alberta",270610,166485,166485
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Chandos Construction LP, Calgary, Alberta","Lab block building exterior envelope replacement, Lethbridge, Alberta",11505817,0,11505817
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","HFKS Architects Inc, Calgary, Alberta","Lab block building exterior envelope replacement, Lethbridge, Alberta",283863,16403,283863
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","MacLean Construction Ltd, Charlottetown, Prince Edward Island","Lab renovations, Charlottetown, Prince Edward Island",2396276,0,2396276
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Can-Am Platforms & Construction Ltd, Shearstown, Newfoundland and Labrador","Lab renovations, St John's, Newfoundland and Labrador",257940,0,257940
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Chandos Construction LP, Calgary, Alberta","Lethbridge Research and Development Centre laboratory annex exterior envelope replacement, Lethbridge, Alberta",3533480,1634905,1634905
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Energy Network Services Inc, Richmond Hill, Ontario","Lightning retrofit, Kentville, Nova Scotia",479000,0,0
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","MVA Power Inc, Montréal, Quebec","Main transformer replacement, Lethbridge,  Alberta",277555,263677,263677
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","GNR Corbus Inc, Sherbrooke, Quebec","Major renovations of the hydraulic heating and cooling networks - Phase 2, Sherbrooke, Quebec",2370759,79153,2370759
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Wild Stone Engineering Ltd, Penticton, British Columbia","Mechanical and electrical systems upgrade, Summerland, British Columbia",3384708,343298,3375422
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Peak Mechanical Partnership, Saskatoon, Saskatchewan","Modifications to cryobank heating ventilation and air conditioning, Saskatoon, Saskatchewan",330188,312661,312661
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Controlled Environments Ltd, Winnipeg, Manitoba","New growth chambers, Summerland, British Columbia",3180285,0,3177409
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Chandos Construction LP, Calgary, Alberta","New Lacombe abattoir, Lacombe, Alberta",12082800,112108,112108
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Tower Engineering Group Limited Partnership and Calnitsky Associates Architects Inc, Winnipeg, Manitoba","Planning and rehabilitation of the research center abattoir, Lacombe, Alberta",1293550,102750,102750
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Finn Construction Ltd, Saskatoon, Saskatchewan","Rehabilitation of Highfield dam, Rush Lake, Saskatchewan",1580865,0,1223608
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Golder Associates Ltd, Calgary, Alberta","Rehabilitation of Highfield dam, Rush Lake, Saskatchewan",703892,0,486213
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Ronam Construction Inc, Lévis, Quebec","Relocation of the Chapais Farm, Saint-Augustin-de-Desmaures, Quebec",4576793,129074,4576793
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Michanie Construction Inc, Ottawa, Ontario","Renovation of lab rooms 2044-2046, Ottawa, Ontario",345573,207513,207513
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Construction Bugère Inc, Saint-Hyacinthe, Quebec","Replacement of fumehoods, Saint-Hyacinthe, Quebec",2284692,2284692,2284692
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Groupe Symaco Inc, Québec, Quebec","Replacement of growth chambers, Québec, Quebec",543573,237116,237116
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Wright Construction Western Inc, Saskatoon, Saskatchewan","Research centre rehabilitation project, Swift Current, Saskatchewan",30014279,7454099,27211067
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Les Constructions Béland & Lapointe Inc, Lévis, Quebec","Research greenhouse reconstruction, Québec, Quebec",4176616,1068944,4176616
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Proteck Roofing & Sheet Metal Inc, Etobicoke, Ontario","Roof replacement, Harrow, Ontario",1992187,851938,1992187
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Oakwood Roofing & Sheet Metal Co Ltd, Winnipeg, Manitoba","Roof replacement, Morden, Manitoba",984583,449231,984583
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","GR Construction and Site Development, Ottawa, Ontario","Structural rehabilitation for building 55, Ottawa, Ontario",266151,3208,266151
2017/2018,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Contracts under $250,000 and cost plus contracts under $25,000 (156 contractors)",,0,4977315,0
2017/2018,04,"Canadian Heritage",145,"Library and Archives of Canada","Brookfield Global Integrated Solutions Canada LP, Markham, Ontario","Betterments to the 1700 Inkster Road building, Winnipeg Manitoba",1586454,692291,692291
2017/2018,04,"Canadian Heritage",145,"Library and Archives of Canada","Brookfield Global Integrated Solutions Canada LP, Markham, Ontario","Betterments to the 300 W Georgia Street building, Vancouver, British Columbia",500000,424401,424401
