Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Dept-nbr_No-min,Dept-name_Nom-min_eng,Contractor-details_Details-entrepr_eng,Proj-desc_eng,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2014/2015,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","A&A Elevator Inc, Carp, Ontario","Modernization of freight elevator, Ottawa, Ontario",279000,41850,41850
2014/2015,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Besterd Mechanical, London, Ontario","Cooling tower replacement, London, Ontario",274421,176638,274421
2014/2015,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Can-Dive Construction Ltd, North Vancouver, British Columbia","Rehabilitation of Highfield dam, Rush Lake, British Columbia",615999,41250,41250
2014/2015,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","City of Swift Current, Swift Current, Saskatchewan","Water distribution system, Swift Current, Saskatchewan",1010333,952381,952381
2014/2015,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Contracts under $250,000 and cost plus contracts under $25,000 (65 contractors)",Total,0,2631146,0
2014/2015,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Cornerstone Construction Ltd, Morden, Manitoba**","Biocontainment laboratory upgrades, Morden, Manitoba",1142790,0,1142790
2014/2015,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Crane Structures Steel Ltd, Brandon, Manitoba**","New seed processing facility, Brandon, Manitoba",2250239,355516,2250239
2014/2015,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Donald Servant Electric Limited, Ottawa, Ontario","Installation of emergency generator, Ottawa, Ontario",329021,329021,329021
2014/2015,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Graham Design Builders, Winnipeg, Manitoba**","New greenhouse and headerhouse, Morden, Manitoba",8331768,1325908,8161685
2014/2015,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Koncrete Construction Group, Maple Creek, Saskatchewan","Rip-rap rehabilitation at Highfield dam, Rush Lake, Saskatchewan",301800,301800,301800
2014/2015,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Kowal Constructions Alta Ltd, Crossfield, Alberta","Headgate rehabilitation for Downie Lake dam, Maple Creek, Saskatchewan",676673,676673,676673
2014/2015,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Les Contrôles AC Montréal Inc, Laval, Quebec","Improvements to laboratory ventilation system, Québec, Quebec",319635,319635,319635
2014/2015,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Michanie Construction Inc, Ottawa, Ontario","Mobile compactor storage system for National Coleoptera Collection, Ottawa, Ontario",280891,45005,45005
2014/2015,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","MH Stoneworks, Manotick, Ontario","Foundation waterproofing and verandah restoration for building 54, Ottawa, Ontario",424567,394834,394834
2014/2015,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Niacon Limited, Queenston, Ontario**","New pesticide-free greenhouse addition, London, Ontario",2565475,1162155,2446602
2014/2015,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Raymond and Associates Roofing Inc, Ottawa, Ontario","Roof replacement for building 22, Ottawa, Ontario",308795,107500,107500
2014/2015,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Silver Ridge Construction, Lethbridge, Alberta**","Agronomy building repairs and improvements, Lethbridge, Alberta",965140,716243,716243
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Aktor SA, Kifissia Attica, Greece","Chancery fit-up, Athens, Greece",3141168,2942595,2942595
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Black and McDonald Ltd, Ottawa, Ontario","Chancery gatehouse reconfiguration, New Delhi, India",2809165,2251455,2465117
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Black and McDonald Ltd, Ottawa, Ontario","Electrical upgrades chancery and staff quarter, Islamabad, Pakistan",3172290,0,3069378
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Brigade Enterprises Ltd, Bangalore, India","Fit-up of consulate office, Bangalore, India",2311135,176553,1831814
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Cannonbye Construction Ltd, Ottawa, Ontario","Installation of prime power generating system for the compound, Port-au-Prince, Haiti",723452,0,714516
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Casais Brasil Empreedimentos Lda, Rio de Janeiro, Brazil","Expansion and fit-up of consulate, Rio de Janeiro, Brazil",2890369,1030601,2830466
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Casais Engenharia E Construcaio SA, Rabat, Morocco","Chancery construction, Rabat, Morocco",14096660,722971,14096660
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Charles Russell, London, United Kingdom","Purchase of staff quarters, London, United Kingdom",2841806,284636,284636
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Charles Russell, London, United Kingdom","Purchase of staff quarters, London, United Kingdom",3078608,3078608,3078608
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Cit Blaton, Brussels, Belgium","Fit-up of the new chancery, Brussels, Belgium",4749528,946708,1050748
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Clarke and Associates Construction Inc, St Thomas, Barbados","Construction of office space annex, Bridgetown, Barbados",1455741,1087018,1439317
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","ComNet, Ottawa, Ontario","Cable supply installation and testing, Amman, Jordan",251000,0,242175
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","ComNet, Ottawa, Ontario","Cable supply installation and testing, Hong Kong, China",490068,394579,490067
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Construction Outfitters International, Boeme, Texas","Design build and fit-up of the chancery, Damascus, Syria",6349317,0,3261795
